CODE ;CATEGORY    ;TITLE                ;DURATION;COACH          ;IMAGE                                           ;URL                                      ;AUDIENCE   ;INTENSITY             ;TAGS            ;DESCRIPTION                                                                                                                             ;RESUME;
PI004;PILATES     ;Morning pilates 4    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
PI005;PILATES     ;Morning pilates 5    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
PI006;PILATES     ;Morning pilates 6    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
PI007;PILATES     ;Morning pilates 7    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
CA001;CALISTHENICS;Easy Abs 1           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA002;CALISTHENICS;Easy Abs 2           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA003;CALISTHENICS;Easy Abs 3           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA004;CALISTHENICS;Easy Abs 4           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA005;CALISTHENICS;Easy Abs 5           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA006;CALISTHENICS;Easy Abs 6           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
CA007;CALISTHENICS;Easy Abs 7           ;7:15    ;Robert Roca    ;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Men        ;Beginner, Intermediate;endurance       ;                                                                                                                                        ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua;
ME001;MEDITATION  ;Meditation 4 sleep  1;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME002;MEDITATION  ;Meditation 4 sleep  2;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME003;MEDITATION  ;Meditation 4 sleep  3;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME004;MEDITATION  ;Meditation 4 sleep  4;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME005;MEDITATION  ;Meditation 4 sleep  5;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME006;MEDITATION  ;Meditation 4 sleep  6;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
ME007;MEDITATION  ;Meditation 4 sleep  7;10:45   ;Tom Hollwege   ;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;relax           ;Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat                              ; ;
HR001;HEALTH RISK ;Wellness             ;0:20    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;http://159.89.7.239:8080/api/videos/wellness;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR002;HEALTH RISK ;Zinc deficiency 2    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR003;HEALTH RISK ;Zinc deficiency 3    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR004;HEALTH RISK ;Zinc deficiency 4    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR005;HEALTH RISK ;Zinc deficiency 5    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR006;HEALTH RISK ;Zinc deficiency 6    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
HR007;HEALTH RISK ;Zinc deficiency 7    ;2:30    ;Angelica Muller;https://i.ytimg.com/vi/1_C37WjcFzE/hqdefault.jpg;https://www.youtube.com/embed/1_C37WjcFzE   ;All Genders;                      ;learn           ;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua              ;Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit;
